Player,Team,Nation,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR
Bukayo Saka,Arsenal,ENG,FW,19,38,2978,11,7,6,0
Martin Ødegaard,Arsenal,NOR,MF,22,36,2785,14,4,4,0
Gabriel Martinelli,Arsenal,BRA,FW,20,29,1860,6,6,3,1
Harry Kane,Tottenham Hotspur,ENG,FW,28,37,3232,17,9,5,0
Son Heung-min,Tottenham Hotspur,KOR,FW,29,35,3006,23,7,2,0
Dejan Kulusevski,Tottenham Hotspur,SWE,FW,21,18,1261,5,8,3,0
Sadio Mané,Liverpool,SEN,FW,29,34,2819,16,2,5,0
Mohamed Salah,Liverpool,EGY,FW,29,35,2762,23,13,1,0
Diogo Jota,Liverpool,POR,FW,24,35,2364,15,4,3,0
Kevin De Bruyne,Manchester City,BEL,MF,30,30,2201,15,8,2,0
Phil Foden,Manchester City,ENG,FW,21,28,2128,9,5,1,0
Jack Grealish,Manchester City,ENG,FW,25,26,1914,3,3,3,0
Riyad Mahrez,Manchester City,ALG,FW,30,28,1498,11,5,0,0
Bruno Fernandes,Manchester United,POR,MF,26,36,3111,10,6,10,0
Cristiano Ronaldo,Manchester United,POR,FW,36,30,2456,18,3,8,0
Jadon Sancho,Manchester United,ENG,FW,21,29,1900,3,3,0,0
Paul Pogba,Manchester United,FRA,MF,28,20,1349,1,9,7,1
Jamie Vardy,Leicester City,ENG,FW,34,25,1806,15,2,2,0
James Maddison,Leicester City,ENG,MF,24,35,2459,12,8,3,0
Harvey Barnes,Leicester City,ENG,FW,23,32,2101,6,10,2,0
Mason Mount,Chelsea,ENG,MF,22,32,2363,11,10,4,0
Christian Pulisic,Chelsea,USA,FW,22,22,1290,6,2,2,0

